File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF899XEF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR661KMA	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K27ac-human	DNA						2016-11-18	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_2							/files/ENCFF799ZUN/, /files/ENCFF539DNR/, /files/ENCFF356LFX/, /files/ENCFF977FPK/, /files/ENCFF209VII/	1168516	ENCODE Processing Pipeline	cc7f863d14c7613925086e6e5255a64f		https://www.encodeproject.org/files/ENCFF899XEF/@@download/ENCFF899XEF.bed.gz				released	s3://encode-public/2020/10/20/1f44cc5f-0d28-42c2-b85b-0a178e1a49ea/ENCFF899XEF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/1f44cc5f-0d28-42c2-b85b-0a178e1a49ea/ENCFF899XEF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mixed read lengths, low read depth, low read length, mixed run types, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	
ENCFF405SDB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR835MMN	Histone ChIP-seq	/human-donors/ENCDO000ABC/	EFO:0002860	SK-N-MC	cell line	Homo sapiens										H3K27ac-human	DNA						2016-11-18	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF825DPO/, /files/ENCFF356LFX/, /files/ENCFF298MJF/, /files/ENCFF051DER/	2220567	ENCODE Processing Pipeline	14364e17a5746fb276dab3e8169e21ca		https://www.encodeproject.org/files/ENCFF405SDB/@@download/ENCFF405SDB.bed.gz				released	s3://encode-public/2020/10/26/503a1097-a282-4868-b94f-b10efbd12259/ENCFF405SDB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/26/503a1097-a282-4868-b94f-b10efbd12259/ENCFF405SDB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mixed run types		
ENCFF491LQY	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR752UOD	Histone ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K27ac-human	DNA						2016-06-30	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 1_2, 2_1							/files/ENCFF785NUK/, /files/ENCFF356LFX/, /files/ENCFF391BOB/, /files/ENCFF433BQD/, /files/ENCFF474LAV/	1844872	ENCODE Processing Pipeline	ea939cfa6c422f08bd4661873f5e4948		https://www.encodeproject.org/files/ENCFF491LQY/@@download/ENCFF491LQY.bed.gz				released	s3://encode-public/2020/10/20/f88fc1b3-ad09-4b30-8655-0116b533ea1c/ENCFF491LQY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/f88fc1b3-ad09-4b30-8655-0116b533ea1c/ENCFF491LQY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mixed read lengths, low read length, mixed run types, moderate library complexity, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	
ENCFF228UVG	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR758OEC	Histone ChIP-seq	/human-donors/ENCDO697GBW/	EFO:0005724	MM.1S	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-06	ENCODE		sonication (generic)	300-600	1, 2	1_1, 2_1							/files/ENCFF848FKI/, /files/ENCFF717USZ/, /files/ENCFF356LFX/, /files/ENCFF901CTP/, /files/ENCFF950MLZ/	1178982	ENCODE Processing Pipeline	447b66b2a1822ca909af23b08e343dd1		https://www.encodeproject.org/files/ENCFF228UVG/@@download/ENCFF228UVG.bed.gz				released	s3://encode-public/2020/10/09/2bbaeef6-edcf-4b0c-8291-cd7208d8f8dd/ENCFF228UVG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/09/2bbaeef6-edcf-4b0c-8291-cd7208d8f8dd/ENCFF228UVG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, mild to moderate bottlenecking		
ENCFF392KDI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AMO	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document	300-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF539MTH/, /files/ENCFF356LFX/, /files/ENCFF745JCH/, /files/ENCFF926NHE/, /files/ENCFF245IFK/, /files/ENCFF862NDZ/, /files/ENCFF856IEI/	1417702	ENCODE Processing Pipeline	9c7b2a939bc1ff0e3c2caac09d846130		https://www.encodeproject.org/files/ENCFF392KDI/@@download/ENCFF392KDI.bed.gz				released	s3://encode-public/2022/06/14/a590ec80-a07c-4c5b-a49d-f9f6ca49057f/ENCFF392KDI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/14/a590ec80-a07c-4c5b-a49d-f9f6ca49057f/ENCFF392KDI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mixed read lengths, low read length, mixed run types, inconsistent platforms, mild to moderate bottlenecking	insufficient read depth	extremely low read length
ENCFF079UIK	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EXK	Histone ChIP-seq	/human-donors/ENCDO000ABB/	EFO:0002713	Panc1	cell line	Homo sapiens										H3K27ac-human	DNA						2011-10-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF600PIZ/, /files/ENCFF495YJJ/, /files/ENCFF356LFX/, /files/ENCFF857ERK/	1837385	ENCODE Processing Pipeline	94fe92382fb64df64e171156c1a5662d		https://www.encodeproject.org/files/ENCFF079UIK/@@download/ENCFF079UIK.bed.gz				released	s3://encode-public/2020/09/29/550f190e-359f-4dbf-bf0f-202e7b94abd8/ENCFF079UIK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/550f190e-359f-4dbf-bf0f-202e7b94abd8/ENCFF079UIK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms, low read length, mild to moderate bottlenecking		
ENCFF023KCS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR447ZGY	Histone ChIP-seq	/human-donors/ENCDO351AAA/	EFO:0006711	OCI-LY7	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF322PGT/, /files/ENCFF317ZWU/, /files/ENCFF509LTB/, /files/ENCFF139BHA/, /files/ENCFF356LFX/	997772	ENCODE Processing Pipeline	aa15edf317eedd807fbc55e88e45fb8d		https://www.encodeproject.org/files/ENCFF023KCS/@@download/ENCFF023KCS.bed.gz				released	s3://encode-public/2020/10/20/aedecf65-a319-4db2-855e-46eaa11babee/ENCFF023KCS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/aedecf65-a319-4db2-855e-46eaa11babee/ENCFF023KCS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read depth, low read length, mixed run types, moderate library complexity, inconsistent platforms, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	
ENCFF787TTT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR769CSE	Histone ChIP-seq	/human-donors/ENCDO339AAA/	EFO:0005722	SJCRH30	cell line	Homo sapiens										H3K27ac-human	DNA						2020-08-28	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF721URQ/, /files/ENCFF356LFX/, /files/ENCFF743FZM/, /files/ENCFF873XOV/	1460481	ENCODE Processing Pipeline	cc8451fef11429a75d97c0f565e43bb9		https://www.encodeproject.org/files/ENCFF787TTT/@@download/ENCFF787TTT.bed.gz				released	s3://encode-public/2020/08/24/0fca47d7-ceaf-446e-a7a8-facd915b7e05/ENCFF787TTT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/24/0fca47d7-ceaf-446e-a7a8-facd915b7e05/ENCFF787TTT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF251MVQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR391NPE	Histone ChIP-seq	/human-donors/ENCDO719HIY/	EFO:0002095	22Rv1	cell line	Homo sapiens										H3K27ac-human	DNA						2017-03-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF476GMM/, /files/ENCFF356LFX/, /files/ENCFF749VNR/, /files/ENCFF615DSM/, /files/ENCFF176QGA/	1195781	ENCODE Processing Pipeline	951de49ef6f6592fd26cd4a0fc293ea2		https://www.encodeproject.org/files/ENCFF251MVQ/@@download/ENCFF251MVQ.bed.gz				released	s3://encode-public/2020/09/17/268b3934-58a3-42ca-840d-7b226af0a541/ENCFF251MVQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/17/268b3934-58a3-42ca-840d-7b226af0a541/ENCFF251MVQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF557EXR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR279KIX	Histone ChIP-seq	/human-donors/ENCDO000ACX/	EFO:0006365	C4-2B	cell line	Homo sapiens										H3K27ac-human	DNA						2017-03-16	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF358BGI/, /files/ENCFF356LFX/, /files/ENCFF385EWH/, /files/ENCFF629MMX/, /files/ENCFF743JLF/	1617803	ENCODE Processing Pipeline	ea30a8b4f7f9254d030f925a48829d72		https://www.encodeproject.org/files/ENCFF557EXR/@@download/ENCFF557EXR.bed.gz				released	s3://encode-public/2020/09/17/43ff33c5-b0cb-475a-af4d-70fb19570e4c/ENCFF557EXR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/17/43ff33c5-b0cb-475a-af4d-70fb19570e4c/ENCFF557EXR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF284YHN	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR764HZU	Histone ChIP-seq	/human-donors/ENCDO000ADT/	EFO:0005715	WERI-Rb-1	cell line	Homo sapiens										H3K27ac-human	DNA						2020-08-28	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF574GEM/, /files/ENCFF463ZHF/, /files/ENCFF356LFX/, /files/ENCFF988DRF/	1632233	ENCODE Processing Pipeline	180f1a87ced5e4d67b6665b23f165062		https://www.encodeproject.org/files/ENCFF284YHN/@@download/ENCFF284YHN.bed.gz				released	s3://encode-public/2020/08/24/20583f5a-6388-42c2-93bf-c7f3781fcc7a/ENCFF284YHN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/24/20583f5a-6388-42c2-93bf-c7f3781fcc7a/ENCFF284YHN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF058RVC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR349VAW	Histone ChIP-seq	/human-donors/ENCDO197NLG/	EFO:0002330	SJSA1	cell line	Homo sapiens										H3K27ac-human	DNA						2020-09-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF238CFV/, /files/ENCFF356LFX/, /files/ENCFF174GEJ/, /files/ENCFF453QCA/	1736686	ENCODE Processing Pipeline	e57b944c926959b47e7721ddd49925c2		https://www.encodeproject.org/files/ENCFF058RVC/@@download/ENCFF058RVC.bed.gz				released	s3://encode-public/2020/08/25/fa1e4879-bf4d-4dc5-89cc-7b6a1b765def/ENCFF058RVC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/25/fa1e4879-bf4d-4dc5-89cc-7b6a1b765def/ENCFF058RVC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF553MQN	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR368CYW	Histone ChIP-seq	/human-donors/ENCDO220OYR/	EFO:0001221	NCI-H929	cell line	Homo sapiens										H3K27ac-human	DNA						2020-10-07	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF328UWI/, /files/ENCFF670RFC/, /files/ENCFF356LFX/, /files/ENCFF230NOF/	1000476	ENCODE Processing Pipeline	66082c90fc288fea3852f2d478b9f34f		https://www.encodeproject.org/files/ENCFF553MQN/@@download/ENCFF553MQN.bed.gz				released	s3://encode-public/2020/09/15/8628f5f3-21da-4d23-97cf-d474515cc83a/ENCFF553MQN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/15/8628f5f3-21da-4d23-97cf-d474515cc83a/ENCFF553MQN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
