AA	GSE81879	AA86	HindIII
RCC	GSE233166	HEK293	MboI
RCC	GSE233166	HEK293T	MboI
RCC	GSE59395	ACHN	HindIII
RCC	GSE99051	786-M1A	HindIII
RCC	GSE99051	786-O	HindIII
RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor	Arima
RMS	GSE59395	SJCRH30	HindIII
TALL	GSE130140	CUTLL1	MboI
TALL	GSE130140	Jurkat	MboI
TALL	GSE130140	TALL_patient_xenograft	MboI
TALL	GSE130140	Tcell	MboI
TALL	GSE134761	CUTLL1_1	Arima
TALL	GSE134761	CUTLL1_2	HindIII
TALL	GSE134761	Jurkat	HindIII
TALL	GSE134761	primary_TALL_cells	Arima
TALL	GSE134761	Tcell1	HindIII
TALL	GSE134761	Tcell2	Arima
TALL	GSE134761	Tcell3	HindIII
TALL	GSE147123	CCRF-CEM	MboI
TALL	GSE147123	Jurkat	MboI
TALL	GSE147123	MOLT-4	MboI
TALL	GSE147123	RPMI-8402	MboI
TALL	GSE182682	Tcell_leukemia_cell	Arima
UCEC	GSE128234	LEIO-PT1063	HindIII
UCEC	GSE128234	LEIO-PT848	HindIII
UCEC	GSE128234	LEIO-PT886	HindIII
UCEC	GSE128234	LEIO-PT916	HindIII
UCEC	GSE128234	LEIO-PT967	HindIII
UCEC	GSE128234	Myometrium	HindIII
