header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin	gse	group	treatment
CALU3_ENCODE	CALU3	ENCODE	0	NSCLC	Solid Tumor	Epithelial derived	ENCODE	ENCODE	ENCODE
CAOV3	CAOV3	CCLE	0	OV	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
CHLA9	CHLA9	CCLE	0	ES	Solid Tumor	Mesenchymal derived	CCLE	CCLE	CCLE
CLL_CLL_102	CLL_102	GEO	0	CLL	Hematological (Leukemia)	Hematological	GSE163896	ENTREZ_TPM	featureCounts
CLL_CLL_312	CLL_312	GEO	0	CLL	Hematological (Leukemia)	Hematological	GSE163896	ENTREZ_TPM	featureCounts
CLL_CLL_344	CLL_344	GEO	0	CLL	Hematological (Leukemia)	Hematological	GSE163896	ENTREZ_TPM	featureCounts
CLL_CLL_401	CLL_401	GEO	0	CLL	Hematological (Leukemia)	Hematological	GSE163896	ENTREZ_TPM	featureCounts
CLL_CLL_484	CLL_484	GEO	0	CLL	Hematological (Leukemia)	Hematological	GSE163896	ENTREZ_TPM	featureCounts
CML_HAP1-WT-rep1	HAP1	GEO	0	CML	Hematological (Leukemia)	Hematological	GSE137374	ENTREZ_TPM	featureCounts
CML_HAP1-WT-rep2	HAP1	GEO	0	CML	Hematological (Leukemia)	Hematological	GSE137374	ENTREZ_TPM	featureCounts
CRC_A001C007	A001C007	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A001C011	A001C011	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A001C013	A001C013	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A001C019	A001C019	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C001	A002C001	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C002	A002C002	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C006	A002C006	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C010	A002C010	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C013	A002C013	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C122	A002C122	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A002C212	A002C212	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A014C012	A014C012	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A014C040	A014C040	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A014C041	A014C041	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A014C046	A014C046	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A014C053	A014C053	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A014C054	A014C054	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A015C004	A015C004	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_A015C010	A015C010	GEO	1	CRC	Normal Tissue	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_CRC15157	CRC15157	GEO	0	CRC	Solid Tumor	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_CRC19779	CRC19779	GEO	0	CRC	Solid Tumor	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_CRC25135	CRC25135	GEO	0	CRC	Solid Tumor	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_CRC26616	CRC26616	GEO	0	CRC	Solid Tumor	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
CRC_CRC8396	CRC8396	GEO	0	CRC	Solid Tumor	Digestive System	GSE207949	ENTREZ_TPM	featureCounts
D458	D458	CCLE	0	MB	Solid Tumor	Central Nervous System	CCLE	CCLE	CCLE
DAUDI	DAUDI	CCLE	0	BL	Hematological (Lymphoma)	Hematological	CCLE	CCLE	CCLE
DLBCL_WSU-DLCL2_RNASeq_rep1	WSU-DLCL2	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological	GSE168471	ENTREZ_TPM	featureCounts
DLBCL_WSU-DLCL2_RNASeq_rep2	WSU-DLCL2	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological	GSE168471	ENTREZ_TPM	featureCounts
DLBCL_WSU-DLCL2_RNASeq_rep3_run1	WSU-DLCL2	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological	GSE168471	ENTREZ_TPM	featureCounts
DLBCL_WSU-DLCL2_RNASeq_rep3_run2	WSU-DLCL2	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological	GSE168471	ENTREZ_TPM	featureCounts
DLBCL_WSU-DLCL2_RNASeq_rep3_run3	WSU-DLCL2	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological	GSE168471	ENTREZ_TPM	featureCounts
DLD1	DLD1	CCLE	0	CRC	Solid Tumor	Digestive System	CCLE	CCLE	CCLE
DND41	DND41	CCLE	0	TALL	Hematological (Leukemia)	Hematological	CCLE	CCLE	CCLE
DU145	DU145	CCLE	0	PRAD	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
DU4475	DU4475	CCLE	0	BRCA	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
ES_EWS_6647_p2	6647	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_6647_p3	6647	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_6647_p5	6647	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_6647_p6	6647	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_TC-71_p2	TC71	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_TC-71_p3	TC71	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_TC-71_p4	TC71	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
ES_EWS_TC-71_p6	TC71	GEO	0	ES	Solid Tumor	Mesenchymal derived	GSE248354	ENSG_count	unknown
G1	G1	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G120	G120	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G148	G148	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G163	G163	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G171	G171	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G181	G181	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G208	G208	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G213	G213	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G23	G23	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G275	G275	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G275R	G275R	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G28	G28	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G318	G318	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G323	G323	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G351	G351	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G390	G390	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G394	G394	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G402R	G402R	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G402_ENCODE	G402	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G412	G412	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G412R	G412R	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G450	G450	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G452C	G452C	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G452P	G452P	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G457	G457	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G61	G61	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G62	G62	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
G83	G83	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE229965	ENSG_TPM	RSEM
GBM_42MGBA	42MGBA	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE240343	ENSG_TPM	RSEM
GBM_42MGBA_2	42MGBA	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE240343	ENSG_TPM	RSEM
GBM_42MGBA_3	42MGBA	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE240343	ENSG_TPM	RSEM
GBM_A172	A172	GEO	0	GBM	Solid Tumor	Central Nervous System	PRJNA532762	ENSG_TPM	RSEM
GBM_A172_2	A172	GEO	0	GBM	Solid Tumor	Central Nervous System	PRJNA532762	ENSG_TPM	RSEM
GBM_A172_3	A172	GEO	0	GBM	Solid Tumor	Central Nervous System	PRJNA532762	ENSG_TPM	RSEM
GBM_H4	H4	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE240343	ENSG_TPM	RSEM
GBM_H4_2	H4	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE240343	ENSG_TPM	RSEM
GBM_H4_3	H4	GEO	0	GBM	Solid Tumor	Central Nervous System	GSE240343	ENSG_TPM	RSEM
GBM_NHA	NHA	GEO	1	GBM	Normal Tissue	Central Nervous System	GSE162976	ENSG_TPM	RSEM
GBM_NHA_2	NHA	GEO	1	GBM	Normal Tissue	Central Nervous System	GSE162976	ENSG_TPM	RSEM
GBM_NHA_3	NHA	GEO	1	GBM	Normal Tissue	Central Nervous System	GSE162976	ENSG_TPM	RSEM
GBM_NPC	NPC	GEO	1	GBM	Normal Tissue	Central Nervous System	GSE185192	ENSG_TPM	RSEM
GBM_NPC_2	NPC	GEO	1	GBM	Normal Tissue	Central Nervous System	GSE185192	ENSG_TPM	RSEM
GBM_NPC_3	NPC	GEO	1	GBM	Normal Tissue	Central Nervous System	GSE185192	ENSG_TPM	RSEM
GBM_P455_SF11901v1	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v10	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v2	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v3	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v4	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v5	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v6	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v7	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v8	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P455_SF11901v9	P455_SF11901	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001005222	ENSG_TPM	RSEM
GBM_P475_SF12180v1	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v2	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v3	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v4	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v5	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v6	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v7	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P475_SF12180v8	P475_SF12180	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v1	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v10	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v2	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v3	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v4	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v5	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v7	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v8	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P498_SF12251v9	P498_SF12251	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v1	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v10	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v2	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v3	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v4	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v5	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v6	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v7	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v8	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P503_SF12518v9	P503_SF12518	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v1	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v10	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v2	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v3	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v4	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v5	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v6	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v7	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v8	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P519_SF12601v9	P519_SF12601	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v1	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v2	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v3	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v4	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v5	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v7	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P521_SF12631v8	P521_SF12631	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001009497	ENSG_TPM	RSEM
GBM_P524_SF12681v1	P524_SF12681v1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v10	P524_SF12681v10	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v2	P524_SF12681v2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v4	P524_SF12681v4	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v5	P524_SF12681v5	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v6	P524_SF12681v6	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v7	P524_SF12681v7	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v8	P524_SF12681v8	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P524_SF12681v9	P524_SF12681v9	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v1-1	P529_SF12794v1-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v1-2	P529_SF12794v1-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v10-1	P529_SF12794v10-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v10-2	P529_SF12794v10-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v2	P529_SF12794v2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v3-1	P529_SF12794v3-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v3-2	P529_SF12794v3-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v4-1	P529_SF12794v4-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v4-2	P529_SF12794v4-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v5	P529_SF12794v5	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v6-1	P529_SF12794v6-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v6-2	P529_SF12794v6-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v7-1	P529_SF12794v7-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v7-2	P529_SF12794v7-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v8-1	P529_SF12794v8-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v8-2	P529_SF12794v8-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v9-1	P529_SF12794v9-1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P529_SF12794v9-2	P529_SF12794v9-2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v1	P530_SF12822v1	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v10	P530_SF12822v10	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v11	P530_SF12822v11	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v12	P530_SF12822v12	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v13	P530_SF12822v13	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v14	P530_SF12822v14	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v15	P530_SF12822v15	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v16	P530_SF12822v16	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v17	P530_SF12822v17	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v18	P530_SF12822v18	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v19	P530_SF12822v19	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
GBM_P530_SF12822v2	P530_SF12822v2	GEO	0	GBM	Solid Tumor	Central Nervous System	EGAD00001010290	ENSG_TPM	RSEM
