depmap_id	cell_line_display_name	lineage_1	lineage_2	lineage_3	lineage_6	lineage_4
ACH-001032	CHLA32	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-001033	CHLA57	CNS/Brain	Embryonal Tumor	Primitive Neuroectodermal Tumor		
ACH-001034	CHLA9	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-001481	CHLA90	Peripheral Nervous System	Neuroblastoma	Neuroblastoma		
ACH-001035	CHLA99	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-000136	CHP126	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-001338	CHP134	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-003273	CHRF28811	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	NUP98::KDM5A, TP53 and CREBBP	
ACH-000342	CL14	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-000798	CL40	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-001322	CME1	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma		
ACH-000641	CMK	Myeloid	Acute Myeloid Leukemia	Myeloid Leukemia Associated with Down Syndrome	TP53::FXR2	
ACH-001036	CMK115	Myeloid	Acute Myeloid Leukemia	Myeloid Leukemia Associated with Down Syndrome	TP53::FXR2	
ACH-001289	COGAR359	CNS/Brain	Embryonal Tumor	Atypical Teratoid/Rhabdoid Tumor		
ACH-001038	COGE352	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::ERG	
ACH-000253	COLO201	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-000864	COLO684	Uterus	Endometrial Carcinoma	Endometrial Carcinoma		
ACH-001339	COLO794	Skin	Melanoma	Cutaneous Melanoma		
ACH-001820	COLO824	Breast	Breast Neoplasm, NOS	Breast Neoplasm, NOS	HER2+	
ACH-000382	CORL24	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000187	CORL311	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-001489	CORL32	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-000695	CORL47	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000743	CORL95	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-001340	COV413A	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer		
ACH-001048	COV504	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer		
ACH-001737	CTV1DM	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	T-Cell Acute Lymphoblastic Leukemia	TAL1	
ACH-001050	CW9019	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-001053	D425	CNS/Brain	Embryonal Tumor	Medulloblastoma	MYC Amplified	
ACH-001054	D458	CNS/Brain	Embryonal Tumor	Medulloblastoma	MYC Amplified	
ACH-001057	DERL2	Lymphoid	Mature T and NK Neoplasms	Hepatosplenic T-cell Lymphoma		
ACH-001059	DL	Soft Tissue	Rhabdoid Cancer	Extrarenal Rhabdoid Cancer		
ACH-002708	DL221	Soft Tissue	Liposarcoma	Myxoid/Round-Cell Liposarcoma		
ACH-001060	DL40	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Negative		
ACH-000742	DM3	Fibroblast	Non-Cancerous	Fibroblast, Lung		
ACH-000594	DMS153	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-000844	DMS454	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer		
ACH-001493	DOGUM	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma		
ACH-000258	DU4475	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	luminal TNBC	
ACH-000330	EFM19	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	luminal ER+, PR+, HER2+	
ACH-000117	EFM192A	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	HER2+	
ACH-000038	EHEB	Lymphoid	Non-Cancerous	Transformed cell line, B lymphoblast		
ACH-000706	EKVX	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000585	EPLC272H	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-001496	ESO26	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Adenocarcinoma of the Gastroesophageal Junction		
ACH-001497	ESO51	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma		
ACH-002650	ETCC016	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000499	EW8	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-000279	EWS502	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-000487	F36P	Myeloid	Acute Myeloid Leukemia	AML, NOS	RAD21	
ACH-001067	F5	CNS/Brain	Meningothelial Tumor	Meningioma		
ACH-001068	FEPD	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Negative		
ACH-002651	FKH1	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	DEK::NUP214, ETV6::ABL1, GATA2 and EZH2	
ACH-000633	FU97	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma		
ACH-000574	FUOV1	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-000102	GMS10	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-001503	GUMBUS	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma		
ACH-001508	H314	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma		
ACH-001310	HA1E	Kidney	Non-Cancerous	Immortalized Embyonic Kidney Cells		
ACH-002475	HAP1	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	BCR::ABL1	
ACH-001736	HB1119	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia	ETV6::RUNX1	
ACH-003305	HBEC3KT	Unknown	Non-Cancerous	Transformed cell line		
ACH-000374	HCC1143	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000578	HCC1171	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000111	HCC1187	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000699	HCC1395	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal B TNBC	
ACH-000277	HCC1419	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	HER2+	
ACH-000352	HCC1428	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	luminal ER, PR+	
ACH-000349	HCC1500	Breast	Breast Ductal Carcinoma In Situ	Breast Ductal Carcinoma In Situ	luminal ER, PR+	
ACH-000930	HCC1569	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A HER2+	
ACH-000196	HCC1599	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000624	HCC1806	Breast	Breast Ductal Carcinoma In Situ	Breast Ductal Carcinoma In Situ	Basal A TNBC	
ACH-000712	HCC1833	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000223	HCC1937	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000859	HCC1954	Breast	Breast Ductal Carcinoma In Situ	Breast Ductal Carcinoma In Situ	Basal A HER2+	
ACH-000725	HCC202	Breast	Breast Ductal Carcinoma In Situ	Breast Ductal Carcinoma In Situ	HER2+	
ACH-000691	HCC2157	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000755	HCC2218	Breast	Breast Ductal Carcinoma In Situ	Breast Ductal Carcinoma In Situ	HER2+	
ACH-000731	HCC2279	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma		
ACH-000143	HCC2429	Lung	Non-Small Cell Lung Cancer	NUT Carcinoma of the Lung		
ACH-000975	HCC2450	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-000690	HCC2814	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma		
ACH-000575	HCC364	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000840	HCC366	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma		
ACH-000276	HCC38	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000339	HCC461	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000872	HCC515	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000668	HCC70	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000029	HCC827GR5	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000267	HDLM2	Lymphoid	Hodgkin Lymphoma	Hodgkin Lymphoma		
ACH-001349	HDMB03	CNS/Brain	Embryonal Tumor	Medulloblastoma		
ACH-000643	HDQP1	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-001085	HEK293	Unknown	Non-Cancerous	Transformed cell line		
ACH-000049	HEKTE	Kidney	Non-Cancerous	Immortalized Embyonic Kidney Cells		
ACH-001086	HELA	Cervix	Cervical Adenocarcinoma	Endocervical Adenocarcinoma		
ACH-001519	HEMCSS	Bone	Chondrosarcoma	Extraskeletal Myxoid Chondrosarcoma		
ACH-000542	HEYA8	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-001852	HKGZCC	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-000797	HLFA	Fibroblast	Non-Cancerous	Fibroblast, Lung		
ACH-000721	HMC18	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal B TNBC	
ACH-000642	HMEL	Breast	Non-Cancerous	Immortalized Breast Cells		
ACH-002040	HMVII	Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina		
ACH-000299	HNT34	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	BCR::ABL1;GATA2::MECOM, PTPN11, SF3B1 and RAD21	
ACH-000861	HOP62	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-000825	HOP92	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer		
ACH-000088	HS172T	Fibroblast	Non-Cancerous	Fibroblast, Urinary Tract		
ACH-000131	HS229T	Fibroblast	Non-Cancerous	Fibroblast, Lung		
ACH-000199	HS255T	Fibroblast	Non-Cancerous	Fibroblast, Colorectal		
ACH-000083	HS281T	Fibroblast	Non-Cancerous	Fibroblast, Breast		
ACH-000184	HS343T	Fibroblast	Non-Cancerous	Fibroblast, Breast		
ACH-000148	HS578T	Breast	Invasive Breast Carcinoma	Breast Invasive Carcinoma, NOS	Basal B TNBC	
ACH-000240	HS600T	Fibroblast	Non-Cancerous	Fibroblast, Skin		
ACH-000540	HS606T	Fibroblast	Non-Cancerous	Fibroblast, Breast		
ACH-000539	HS618T	Fibroblast	Non-Cancerous	Fibroblast, Lung		
ACH-000214	HS675T	Fibroblast	Non-Cancerous	Fibroblast, Colorectal		
ACH-000413	HS739T	Fibroblast	Non-Cancerous	Fibroblast, Breast		
ACH-000616	HS746T	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		
ACH-000165	HS751T	Fibroblast	Non-Cancerous	Fibroblast, Lymphoid		
ACH-000224	HS819T	Fibroblast	Non-Cancerous	Fibroblast, Bone		
ACH-000229	HS822T	Fibroblast	Non-Cancerous	Fibroblast, Bone		
ACH-000275	HS834T	Fibroblast	Non-Cancerous	Fibroblast, Skin		
ACH-000284	HS840T	Fibroblast	Non-Cancerous	Fibroblast, Upper Aerodigestive		
ACH-001712	HS860T	Bone	Osteosarcoma	Osteosarcoma		
ACH-000194	HS934T	Fibroblast	Non-Cancerous	Fibroblast, Skin		
ACH-000801	HS936T	Skin	Melanoma	Melanoma		
ACH-000546	HSC4	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma		
ACH-002069	HSOS1	Bone	Osteosarcoma	Osteosarcoma		
ACH-002458	HT144SKINFV1	Skin	Melanoma	Melanoma		
ACH-002460	HT144SKINFV2	Skin	Melanoma	Melanoma		
ACH-002459	HT144SKINFV3	Skin	Melanoma	Melanoma		
ACH-000829	HUNS1	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000612	HUT102	Lymphoid	Mature T and NK Neoplasms	Mycosis Fungoides		
ACH-000538	HUTU80	Bowel	Small Bowel Cancer	Duodenal Adenocarcinoma		
ACH-000966	IGROV1	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Endometrioid Ovarian Cancer		
ACH-000310	IMR32	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	MYC Amplified	
ACH-000512	INA6	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000629	IOMMLEE	CNS/Brain	Meningothelial Tumor	Meningioma		
ACH-002706	IS076A	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma		
ACH-002705	IS076P	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma		
ACH-000216	JHESOAD1	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma		
ACH-000577	JHH2	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma		
ACH-002653	JIH5	Myeloid	Acute Leukemias of Ambiguous Lineage	Acute Leukemias of Ambiguous Lineage	ZNF384	
ACH-000711	JIMT1	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A HER2+	
ACH-000241	JK1	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	BCR::ABL1	
ACH-001096	JR	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-002659	JVE127	Bowel	Colorectal Adenocarcinoma	Mucinous Adenocarcinoma of the Colon and Rectum		
ACH-002664	JVE253	Bowel	Colorectal Adenocarcinoma	Mucinous Adenocarcinoma of the Colon and Rectum		
ACH-000106	JVM2	Lymphoid	Mature B-Cell Neoplasms	Mantle Cell Lymphoma		
ACH-000404	K029AX	Skin	Melanoma	Cutaneous Melanoma		
ACH-000053	KARPAS299	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Positive		
ACH-001097	KARPAS384	Lymphoid	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma		
ACH-001098	KCIMOH1	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-001099	KD	Soft Tissue	Rhabdoid Cancer	Extrarenal Rhabdoid Cancer		
ACH-000126	KG1C	CNS/Brain	Diffuse Glioma	Oligodendroglioma		
ACH-001100	KHYG1	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL)		
ACH-000773	KIJK	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Positive		
ACH-000969	KM12	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	MSI	
ACH-001853	KMCH1	Liver	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma		
ACH-000889	KMM1	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000709	KMRC2	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma		
ACH-000588	KMS26	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma		
ACH-000498	KO52	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia		
ACH-002669	KP363T	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
