cancer	gse	cell	clcell	isctrl	istreated	ncell	isCapture	depth	reso	Cancer_Category	Origin	GEO	ENCODE	Cistrome	has_any_H3K27ac
AML	GSE147123	MV411	MV411	0	0	MV411	0	33813989	20250	Hematological (Leukemia)	Hematological	0	0	1	1
AML	GSE152136	PBMC_BM1	PBMC	1	0	PBMC	0	151426030		Normal Tissue	Hematological	1	0	0	1
AML	GSE152136	PBMC_BM2	PBMC	1	0	PBMC_2	0	134805051		Normal Tissue	Hematological	1	0	0	1
AML	GSE152136	PBMC_BM3	PBMC	1	0	PBMC_3	0	183763252		Normal Tissue	Hematological	1	0	0	1
AML	GSE165038	U937	U937	0	0	U937	0	317598524	4000	Hematological (Leukemia)	Hematological	0	0	1	1
AML	GSE208040	THP-1	THP1	0	0	THP1	0	1500187	392850	Hematological (Leukemia)	Hematological	0	0	1	1
AML	GSE235154	NB-4	NB4	0	0	NB4	0	88609506	9850	Hematological (Leukemia)	Hematological	0	0	1	1
AML	GSE63525	GM12878	GM12878	1	0	GM12878_4	0	724321553		Normal Tissue	Hematological	0	0	1	1
AML	GSE93995	HL-60	HL60	0	0	HL60_5	0	45526275	27400	Hematological (Leukemia)	Hematological	1	1	1	1
B-ALL	GSE105776	B_lymphocytes	B_lymphocytes	1	0	B_lymphocytes	0	164059556	5850	Normal Tissue	Hematological	0	0	0	0
B-ALL	GSE115491	Nalm6	NALM6	0	0	NALM6	0	204225772	4050	Hematological (Leukemia)	Hematological	1	0	1	1
B-ALL	GSE136899	GM12878	GM12878	0	0	GM12878_2	0	66686108	17700	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE138862	B-ALL_minus27	B-ALL	0	0	B-ALL	0	43633422	25150	Hematological (Leukemia)	Hematological	0	0	0	0
B-ALL	GSE138862	B-ALL_minus35	B-ALL	0	0	B-ALL_2	0	57813204	18800	Hematological (Leukemia)	Hematological	0	0	0	0
B-ALL	GSE138862	B-ALL_plus27	B-ALL	0	1	B-ALL_3	0	51564319	22650	Hematological (Leukemia)	Hematological	0	0	0	0
B-ALL	GSE138862	B-ALL_plus35	B-ALL	0	1	B-ALL_4	0	46342951	23750	Hematological (Leukemia)	Hematological	0	0	0	0
B-ALL	GSE163696	BC1_latent	BC1	0	0	BC1	1	26909772	28200	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE163696	BC3_latent	BC3	0	0	BC3	1	28215000	26950	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE163696	BCBL-1_latent	BCBL1	0	0	BCBL1	1	14703229	45150	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE163696	BCBL-1_reactivated	BCBL1	0	1	BCBL1_2	1	25188713	45650	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE190843	697	697	0	0	697	0	31416199	17750	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE190843	NALM6	NALM6	0	0	NALM6_2	0	27288649	19450	Hematological (Leukemia)	Hematological	1	0	1	1
B-ALL	GSE190843	Reh	REH	0	0	REH	0	24199666	20300	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE73924	B-ALL	B-ALL	0	0	B-ALL_5	0	9656525	149800	Hematological (Leukemia)	Hematological	0	0	0	0
B-ALL	GSE73924	CALL4	CALL4	0	0	CALL4	0	5809481	244350	Hematological (Leukemia)	Hematological	0	0	0	0
B-ALL	GSE99946	BCBL1_TREx-KRta_Dox	BCBL1	0	1	BCBL1_3	1	40739	100	Hematological (Leukemia)	Hematological	0	0	1	1
B-ALL	GSE99946	BCBL1_TREx-KRta_NoDox	BCBL1	0	0	BCBL1_4	1	44077	100	Hematological (Leukemia)	Hematological	0	0	1	1
BL	GSE160973	Mutu-LCL	Mutu-LCL	0	0	Mutu-LCL	0	5058908	62700	Hematological (Lymphoma)	Hematological	0	0	0	0
BL	GSE160973	MutuI	MutuI	0	0	MutuI	0	337269	935750	Hematological (Lymphoma)	Hematological	0	0	0	0
BL	GSE160973	MutuI_olaparib	MutuI	0	1	MutuI_2	0	400682	969000	Hematological (Lymphoma)	Hematological	0	0	0	0
BL	GSE98120	Daudi	DAUDI	0	0	DAUDI	0	21178173	41450	Hematological (Lymphoma)	Hematological	0	0	1	1
BL	GSE98120	Namalwa	NAMALWA	0	0	NAMALWA	0	25864043	30650	Hematological (Lymphoma)	Hematological	0	0	0	0
BL	GSE98120	Raji	RAJI	0	0	RAJI	0	30640229	25700	Hematological (Lymphoma)	Hematological	0	0	1	1
BLCA	GSE148079	HT1376	HT1376	0	0	HT1376	0	133936380	4850	Solid Tumor	Urinary System	0	0	1	1
BLCA	GSE148079	RT4	RT4	0	0	RT4	0	183631955	3700	Solid Tumor	Urinary System	0	0	1	1
BLCA	GSE148079	SCABER	SCABER	0	0	SCABER	0	34139940	4600	Solid Tumor	Urinary System	0	0	1	1
BLCA	GSE148079	SW780	SW780	0	0	SW780	0	26410558	5650	Solid Tumor	Urinary System	0	0	1	1
BLCA	GSE87112	Bladder_Tissue	Bladder_Tissue	1	0	Bladder_Tissue	0	64163034	24300	Normal Tissue	Urinary System	0	0	0	0
BRCA	GSE105697	T47D	T47D	0	0	T47D	0	76414163	26500	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE109229	BT474	BT474	0	0	BT474	0	48681670	14150	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE109229	MCF10	MCF10A	1	0	MCF10A	0	70991098	7950	Normal Tissue	Reproductive System	0	0	1	1
BRCA	GSE109229	MCF7	MCF7	0	0	MCF7	0	51221761	19950	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE109229	SKBR3	SKBR3	0	0	SKBR3	0	57759118	12000	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE109229	T47D	T47D	0	0	T47D_2	0	180051097	4250	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE118712	FASR	FASR	0	0	FASR	0	67765587	28350	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE118712	MCF7	MCF7	0	0	MCF7_2	0	98667744	20750	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE118712	TAMR	TAMR	0	0	TAMR	0	108437819	17650	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE121443	MCF7	MCF7	0	0	MCF7_3	0	16552070	33200	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE124409	MDA-MB-231	MDAMB231	0	0	MDAMB231	0	36053934	13000	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE130916	MCF7	MCF7	0	0	MCF7_4	0	30433879	61300	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE143676	MDA-MB-231_bot5	MDAMB231	0	0	MDAMB231_2	0	47877602	24100	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE143676	MDA-MB-231_ctrl	MDAMB231	0	0	MDAMB231_3	0	44256621	28150	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE143676	MDA-MB-231_top5	MDAMB231	0	0	MDAMB231_4	0	41904225	24850	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE144377	MCF7L	MCF7	0	0	MCF7_5	0	73584642	20200	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE147123	BT-20	BT20	0	0	BT20	0	31298685	24500	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE147123	BT-549	BT549	0	0	BT549	0	31693598	22300	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	DU4475	DU4475	0	0	DU4475	0	54025647	12450	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC1187	HCC1187	0	0	HCC1187	0	70847790	11450	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC1569	HCC1569	0	0	HCC1569	0	52913057	16950	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC1599	HCC1599	0	0	HCC1599	0	51636800	13200	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC1806	HCC1806	0	0	HCC1806	0	25318569	26750	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC1937	HCC1937	0	0	HCC1937	0	20384560	26150	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC2157	HCC2157	0	0	HCC2157	0	30584485	18900	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE147123	HCC2218	HCC2218	0	0	HCC2218	0	9620147	102550	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE147123	HCC38	HCC38	0	0	HCC38	0	37772308	12100	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HCC70	HCC70	0	0	HCC70	0	48021290	17350	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	HS578T	HS578T	0	0	HS578T	0	26269371	24900	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	MDA-MB-468	MDAMB468	0	0	MDAMB468	0	52803176	10250	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE147123	MDA-MD-231	MDAMD231	0	0	MDAMD231	0	28301956	21600	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE147123	MDA-MD-436	MDAMD436	0	0	MDAMD436	0	22134274	25250	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE147627	T47D-MTVL	T47D	0	0	T47D_3	0	46599257	20950	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE165570	MCF10A	MCF10A	1	0	MCF10A_2	0	29036598	29700	Normal Tissue	Reproductive System	0	0	1	1
BRCA	GSE165570	MCF7	MCF7	0	0	MCF7_6	0	69076036	18000	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE165570	MCF7TR	MCF7	0	0	MCF7_7	0	46254032	24700	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE167150	3neg_patient1	3neg_patient1	0	0	3neg_patient1	0	78774063	8800	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE167150	3neg_patient2	3neg_patient2	0	0	3neg_patient2	0	65909622	10000	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE167150	3neg_patient3	3neg_patient3	0	0	3neg_patient3	0	70420736	10550	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE167150	BT-549	BT549	0	0	BT549_2	0	52101408	6450	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE167150	HCC1954	HCC1954	0	0	HCC1954	0	65219043	5650	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE167150	HCC70	HCC70	0	0	HCC70_2	0	68203649	6050	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE167150	Norm_patient1	Norm_patient1	1	0	Norm_patient1	0	64263764	8700	Normal Tissue	Reproductive System	0	0	0	0
BRCA	GSE167150	Norm_patient2	Norm_patient2	1	0	Norm_patient2	0	68534877	8450	Normal Tissue	Reproductive System	0	0	0	0
BRCA	GSE167150	Norm_patient3	Norm_patient3	1	0	Norm_patient3	0	68762186	9200	Normal Tissue	Reproductive System	0	0	0	0
BRCA	GSE167150	Norm_patient4	Norm_patient4	1	0	Norm_patient4	0	72058866	8100	Normal Tissue	Reproductive System	0	0	0	0
BRCA	GSE167150	Norm_patient5	Norm_patient5	1	0	Norm_patient5	0	61730692	9500	Normal Tissue	Reproductive System	0	0	0	0
BRCA	GSE167150	T47D-MTVL	T47D	0	0	T47D_4	0	61438271	5750	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE167150	ZR7530	ZR7530	0	0	ZR7530	0	70224806	6000	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE167150	mammary_epithelial	mammary_epithelial	1	0	mammary_epithelial	0	47661790	5050	Normal Tissue	Reproductive System	0	0	0	0
BRCA	GSE172618	T47D-MTVL	T47D	0	0	T47D_5	0	96754928	10200	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE195810	MCF7	MCF7	0	0	MCF7_8	0	73584642	20250	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE195810	MCF7M1	MCF7	0	0	MCF7_9	0	692282	235950	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE195810	MCF7TR	MCF7	0	0	MCF7_10	0	28255439	25300	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE205874	MCF7	MCF7	0	0	MCF7_11	0	106959988	6050	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE234323	MDA-MB-436	MDAMB436	0	0	MDAMB436	0	221725301	2300	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE237722	MCF7	MCF7	0	0	MCF7_12	0	168325539	3750	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE247777	T47D	T47D	0	0	T47D_6	0	178276947	5600	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE51687	MCF7	MCF7	0	0	MCF7_13	0	330611	1124800	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE53463	T47D_HindIII	T47D	0	0	T47D_7	0	26898052	85500	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE53463	T47D_NcoI	T47D	0	0	T47D_8	0	51921657	45600	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE55634	BT483	BT483	0	0	BT483	0	54865664	33850	Solid Tumor	Reproductive System	0	0	0	0
BRCA	GSE55634	SUM44	SUM44	0	0	SUM44	0	54137102	35050	Solid Tumor	Reproductive System	0	0	1	1
BRCA	GSE66733	MCF7	MCF7	0	0	MCF7_14	0	99453355	23650	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE68858	MCF7	MCF7	0	0	MCF7_15	0	13642081	91600	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE75070	MCF7	MCF7	0	0	MCF7_16	0	82832495	22850	Solid Tumor	Reproductive System	0	1	1	1
BRCA	GSE98552	MCF10AT1	MCF10A	1	0	MCF10A_3	0	106209999	17950	Normal Tissue	Reproductive System	0	0	1	1
BRCA	GSE98552	MCF10CA1a	MCF10A	1	0	MCF10A_4	0	139443807	16350	Normal Tissue	Reproductive System	0	0	1	1
CESC	GSE102884	HeLa	HELA	0	0	HELA	0	16670740	32050	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE102884	HeLa_CTCF-AID_auxin	HELA	0	0	HELA_2	0	13117919	33050	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE102884	HeLa_G1	HELA	0	0	HELA_3	0	19601891	20550	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE102884	HeLa_G2	HELA	0	0	HELA_4	0	22323881	19700	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE102884	HeLa_Prometa	HELA	0	0	HELA_5	0	21336066	18850	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE102884	HeLa_S	HELA	0	0	HELA_6	0	25068983	17750	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE102884	HeLa_Scc1-AID_auxin	HELA	0	0	HELA_7	0	34496124	18300	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE114539	HeLa	HELA	0	0	HELA_8	0	17197604	11000	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE114539	SF3B1	SF3B1	0	0	SF3B1	0	19244674	9450	Solid Tumor	Reproductive System	0	0	0	0
CESC	GSE119825	HeLa_clone26a_async	HELA	0	0	HELA_9	0	17884138	40800	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE119825	HeLa_clone26a_mitotic	HELA	0	0	HELA_10	0	16801688	57200	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE119825	HeLa_clone27b	HELA	0	0	HELA_11	0	16139036	75650	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE119825	HeLa_clone27b_mitotic	HELA	0	0	HELA_12	0	20084019	49600	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE119825	HeLa_clone27k_async	HELA	0	0	HELA_13	0	14803839	117500	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE119825	HeLa_clone27k_mitotic	HELA	0	0	HELA_14	0	18952620	53750	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE138405	HeLa_G1_HindIII	HELA	0	0	HELA_15	0	19601891	20550	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE138405	HeLa_G1_MboI	HELA	0	0	HELA_16	0	100873797	3050	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE152373	HeLa_4sT	HELA	0	0	HELA_17	0	52	100	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE152373	HeLa_G1	HELA	0	0	HELA_18	0	13302214	28300	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE152373	HeLa_G1_4sT	HELA	0	0	HELA_19	0	15019394	24200	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE152373	HeLa_G1label	HELA	0	0	HELA_20	0	10922631	38300	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE152373	HeLa_G2	HELA	0	0	HELA_21	0	133290406	2250	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE152373	HeLa_Prometa	HELA	0	0	HELA_22	0	36857780	23700	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE165463	HeLa	HELA	0	0	HELA_23	0	82294	771000	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE173781	HeLa	HELA	0	0	HELA_24	0	36548192	12750	Solid Tumor	Reproductive System	0	1	1	1
CESC	GSE183186	HeLa-S3	HELA	0	0	HELA_25	0	86509889	6900	Solid Tumor	Reproductive System	0	1	1	1
CESC	PRJCA001242	cervical_epithelial_cell	cervical_epithelial_cell	1	0	cervical_epithelial_cell	0	157609	4749850	Normal Tissue	Reproductive System	0	0	0	0
CLL	GSE163896	CLL_102	CLL_102	0	0	CLL_102	0	93875152	8800	Hematological (Leukemia)	Hematological	0	0	0	0
CLL	GSE163896	CLL_312	CLL_312	0	0	CLL_312	0	108550378	7700	Hematological (Leukemia)	Hematological	0	0	0	0
CLL	GSE163896	CLL_324	CLL_324	0	0	CLL_324	0	106606645	8100	Hematological (Leukemia)	Hematological	0	0	0	0
CLL	GSE163896	CLL_344	CLL_344	0	0	CLL_344	0	87789602	7650	Hematological (Leukemia)	Hematological	0	0	0	0
CLL	GSE163896	CLL_401	CLL_401	0	0	CLL_401	0	82745492	9300	Hematological (Leukemia)	Hematological	0	0	0	0
CLL	GSE163896	CLL_484	CLL_484	0	0	CLL_484	0	86187609	9300	Hematological (Leukemia)	Hematological	0	0	0	0
CML	GSE137372	KBM7	KBM7	0	0	KBM7	0	29034299	12450	Hematological (Leukemia)	Hematological	0	0	1	1
CML	GSE137373	KBM7	KBM7	0	0	KBM7_2	0	4775128	126000	Hematological (Leukemia)	Hematological	0	0	1	1
CML	GSE180922	HAP1	HAP1	0	0	HAP1	0	108456301	8150	Hematological (Leukemia)	Hematological	0	1	1	1
CML	GSE182500	HAP1	HAP1	0	0	HAP1_2	0	111644872	11350	Hematological (Leukemia)	Hematological	0	1	1	1
CRC	GSE137188	09-376	09-376	0	0	09-376	0	105179165	8100	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-1026	11-1026	0	0	11-1026	0	102757999	8950	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-1074	11-1074	0	0	11-1074	0	95497276	8700	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-1074_Normal	11-1074_Normal	1	0	11-1074_Normal	0	90275817	9300	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	11-51	11-51	0	0	11-51	0	61174254	17800	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-51_Normal	11-51_Normal	1	0	11-51_Normal	0	113095102	9400	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	11-52	11-52	0	0	11-52	0	94723091	8200	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-52_Normal	11-52_Normal	1	0	11-52_Normal	0	87713161	10300	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	11-63	11-63	0	0	11-63	0	104670025	7950	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-63_Normal	11-63_Normal	1	0	11-63_Normal	0	95145177	8100	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	11-927	11-927	0	0	11-927	0	95997926	9350	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	11-983	11-983	0	0	11-983	0	105174347	8200	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	12-251	12-251	0	0	12-251	0	88429106	10750	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	12-251_Normal	12-251_Normal	1	0	12-251_Normal	0	88555819	10250	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	13-1317	13-1317	0	0	13-1317	0	76242970	13750	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-1320	13-1320	0	0	13-1320	0	104161355	8700	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-1321	13-1321	0	0	13-1321	0	102227797	8550	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-1334	13-1334	0	0	13-1334	0	83177025	10300	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-1410	13-1410	0	0	13-1410	0	83288862	10300	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-1413	13-1413	0	0	13-1413	0	105917260	7250	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-1483	13-1483	0	0	13-1483	0	103280343	10500	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-257	13-257	0	0	13-257	0	101549236	8600	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-542	13-542	0	0	13-542	0	133842886	7100	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-542_Normal	13-542_Normal	1	0	13-542_Normal	0	133875316	5950	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	13-545	13-545	0	0	13-545	0	96096371	8550	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-731	13-731	0	0	13-731	0	98623941	9850	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	13-731_Normal	13-731_Normal	1	0	13-731_Normal	0	89819563	10050	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	14-1083	14-1083	0	0	14-1083	0	109272174	7850	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-114	14-114	0	0	14-114	0	90329881	12450	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-1251	14-1251	0	0	14-1251	0	154430050	5250	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-1251_Normal	14-1251_Normal	1	0	14-1251_Normal	0	115006957	7700	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	14-132	14-132	0	0	14-132	0	104686966	9000	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-151	14-151	0	0	14-151	0	151921808	5650	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-151_Normal	14-151_Normal	1	0	14-151_Normal	0	159188464	4900	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE137188	14-258	14-258	0	0	14-258	0	98928192	8300	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-275	14-275	0	0	14-275	0	104004210	8850	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-326	14-326	0	0	14-326	0	108045087	9150	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-328	14-328	0	0	14-328	0	107223632	9750	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-426	14-426	0	0	14-426	0	97620267	8900	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-431	14-431	0	0	14-431	0	99337407	8750	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-442	14-442	0	0	14-442	0	100646188	9100	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-494	14-494	0	0	14-494	0	106122910	8300	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-810	14-810	0	0	14-810	0	96240840	9950	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	14-91	14-91	0	0	14-91	0	84180225	12250	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	15-1382	15-1382	0	0	15-1382	0	98217331	9850	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	15-1420	15-1420	0	0	15-1420	0	103755746	8350	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	15-418	15-418	0	0	15-418	0	91229779	11850	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	15-446	15-446	0	0	15-446	0	101884332	9500	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	16-178	16-178	0	0	16-178	0	98856677	9600	Solid Tumor	Digestive System	0	0	0	0
CRC	GSE137188	16-178_Normal	16-178_Normal	1	0	16-178_Normal	0	92658122	9300	Normal Tissue	Digestive System	0	0	0	0
CRC	GSE151970	SW480	SW480	0	0	SW480	0	17240021	27250	Solid Tumor	Digestive System	0	0	1	1
CRC	GSE160235	DLD-1_G1	DLD1	0	0	DLD1_2	0	105761497	7150	Solid Tumor	Digestive System	0	0	1	1
CRC	GSE160235	DLD-1_async	DLD1	0	0	DLD1	0	82186116	6350	Solid Tumor	Digestive System	0	0	1	1
