AA	GSE81879	AA86	AA86	AA86	0
MB	GSE240410	MB275	MB275	MB275	0
MB	GSE240410	MB277	MB277	MB277	0
MB	GSE240410	MB288	MB288	MB288	0
MCL	GSE147123	Granta	GRANTA452	GRANTA452	0
MCL	GSE147123	Jeko1	JEKO1	JEKO1	0
MCL	GSE147123	Maver-1	MAVER1	MAVER1	0
MCL	GSE147123	Mino-1	MINO	MINO	0
MCL	GSE147123	Rec-1	REC1	REC1	0
MCL	GSE268226	REC-1	REC1	REC1_2	0
MEL	GSE136899	ATMhTERT	ATMhTERT	ATMhTERT	1
MEL	GSE136899	BJ1	BJ1	BJ1	1
MEL	GSE136899	BJ5ta	BJ5ta	BJ5ta	1
MEL	GSE136899	GM02052	GM02052	GM02052	1
MEL	GSE136899	MRC5	MRC5	MRC5	1
MEL	GSE136899	BJ5ta	BJ5ta	BJ5ta	1
MEL	GSE143676	A375	A375	A375	0
MEL	GSE147123	A2058	A2058	A2058	0
MEL	GSE151193	HaCaT_Keratinocyte	HaCaT_Keratinocyte	HaCaT_Keratinocyte	1
MEL	GSE186055	melanoma	melanoma	melanoma	0
MEL	GSE248849	MNT-1_Hae3	MNT1	MNT1_2	0
MEL	GSE248849	MNT-1_Hae3_Alu1	MNT1	MNT1	0
MEL	GSE275396	A375-Clone3-ITGB4neg	A375	A375_2	0
MEL	GSE275396	A375-Clone3-ITGB4pos	A375	A375_3	0
MEL	GSE275396	A375-Parental-ITGB4neg	A375	A375_4	0
MEL	GSE275396	A375-Parental-ITGB4pos	A375	A375_5	0
MEL	GSE59395	RPMI-7951	RPMI7951	RPMI7951	0
MM	GSE100832	GM12878	GM12878	GM12878_3	1
MM	GSE100832	RPMI-8226	RPMI8226	RPMI8226	0
MM	GSE100832	U266	U266	U266	0
MM	GSE131651	NSD2_High_1	NSD2	NSD2	0
MM	GSE131651	NSD2_High_2	NSD2	NSD2_2	0
MM	GSE131651	NSD2_Low_1	NSD2	NSD2_3	0
MM	GSE131651	NSD2_Low_2	NSD2	NSD2_4	0
MM	GSE87585	RPMI-8226_HindIII	RPMI8226	RPMI8226_2	0
MM	GSE87585	RPMI-8226_MboI	RPMI8226	RPMI8226_3	0
MM	GSE87585	U266_HindIII	U266	U266_2	0
MM	GSE87585	U266_MboI	U266	U266_3	0
MTC	GSE147123	TT	TT	TT	0
MTC	GSE237300	thyroid_gland	thyroid_gland	thyroid_gland	1
NB	GSE105275	SK-N-DZ	SKNDZ	SKNDZ	0
NB	GSE115862	SKNSH	SKNSH	SKNSH_2	0
NB	GSE115862	SKNSHadel1r	SKNSH	SKNSH	0
NB	GSE129732	SHY_neuroblasts	SHY_neuroblasts	SHY_neuroblasts	0
NB	GSE147123	SK-N-DZ	SKNDZ	SKNDZ_2	0
NB	GSE175452	TR-14	TR14	TR14	0
NB	GSE214792	GI-MEN	GIMEN	GIMEN	0
NB	GSE252149	SH-SY5Y	SHSY5Y	SHSY5Y	0
NB	GSE252149	SH-SY5Y_TOP2BKO	SHSY5Y	SHSY5Y_2	0
NB	GSE59395	SK-N-MC	SKNMC	SKNMC_2	0
NPC	GSE166570	HK1	HK1	HK1	0
NPC	GSE166570	NP-69	NP69	NP69	1
NPC	GSE166570	NPC	NPC	NPC	0
NSCLC	GSE105725	NCI-H460	NCIH460	NCIH460	0
NSCLC	GSE147123	NCI-H1437	NCIH1437	NCIH1437	0
NSCLC	GSE147123	NCI-H1563	NCIH1563	NCIH1563	0
NSCLC	GSE147123	NCI-H1573	NCIH1573	NCIH1573	0
NSCLC	GSE147123	NCI-H1975	NCIH1975	NCIH1975	0
NSCLC	GSE147123	NCI-H596	NCIH596	NCIH596	0
NSCLC	GSE164533	A549-ACE2	A549	A549	0
NSCLC	GSE168233	A549	A549	A549_2	0
NSCLC	GSE179184	A549-hACE2	A549	A549_3	0
NSCLC	GSE237356	Calu3	CALU3	CALU3	0
NSCLC	GSE292519	HCC364	HCC364	HCC364	0
NSCLC	GSE292519	NCI-H2087	NCIH2087	NCIH2087	0
NSCLC	GSE292519	NCI-H358	NCIH358	NCIH358	0
NSCLC	GSE292519	NCI-H441	NCIH441	NCIH441	0
NSCLC	PRJCA000333	5534N	5534N	5534N	1
NSCLC	PRJCA000333	5534T	5534T	5534T	0
NSCLC	PRJCA000333	6405N	6405N	6405N	1
NSCLC	PRJCA000333	6405T	6405T	6405T	0
NSCLC	PRJCA000333	A549	A549	A549_4	0
NUT	GSE133163	293TRex	293TRex	293TRex	1
NUT	GSE133163	293TRex_input	293TRex	293TRex_2	1
NUT	GSE133163	TC-797	TC797	TC797_2	0
NUT	GSE133163	TC-797_input	TC797	TC797	0
OS	GSE141067	U2OS	U2OS	U2OS	0
OS	GSE147123	MG-63	MG63	MG63	0
OS	GSE90003	U2OS	U2OS	U2OS_2	0
OV	GSE122154	UWB1.289	UWB1289	UWB1289_2	0
OV	GSE122154	UWB1.289_mut	UWB1289	UWB1289	0
OV	GSE147123	Caov-3	CAOV3	CAOV3	0
OV	GSE147123	SK-OV-3	SKOV3	SKOV3	0
OV	GSE147123	SW626	SW626	SW626	0
OV	GSE201878	HEYA8	HEYA8	HEYA8	0
OV	GSE201878	PEO1	PEO1	PEO1	0
OV	GSE278254	FT282	FT282	FT282	1
PRAD	GSE105557	LNCaP	LNCAPCLONEFGC	LNCAPCLONEFGC	0
PRAD	GSE118514	22Rv1	22RV1	22RV1	0
PRAD	GSE118629	22Rv1	22RV1	22RV1_2	0
PRAD	GSE118629	C42B	C42B	C42B	0
PRAD	GSE125640	LNCaP	LNCAPCLONEFGC	LNCAPCLONEFGC_2	0
PRAD	GSE143370	22Rv1	22RV1	22RV1_3	0
PRAD	GSE147123	DU-145	DU145	DU145	0
PRAD	GSE161493	LNCaP	LNCAPCLONEFGC	LNCAPCLONEFGC_3	0
PRAD	GSE172097	DU145	DU145	DU145_2	0
PRAD	GSE172097	LNCaP	LNCAPCLONEFGC	LNCAPCLONEFGC_4	0
PRAD	GSE172097	MDAPCa2a	MDAPCa2a	MDAPCa2a	0
PRAD	GSE172097	MDAPCa2b	MDAPCa2b	MDAPCa2b	0
PRAD	GSE172097	PC-3	PC3	PC3	0
PRAD	GSE172097	VCaP	VCaP	VCaP	0
PRAD	GSE204996	C42B	C42B	C42B_2	0
PRAD	GSE268339	LNCaP	LNCAPCLONEFGC	LNCAPCLONEFGC_5	0
PRAD	GSE73782	LNCaP	LNCAPCLONEFGC	LNCAPCLONEFGC_6	0
PRAD	GSE73782	PC3	PC3	PC3_2	0
PRAD	GSE73782	PrEC	PRECLH	PRECLH	1
RB	GSE230795	ARPE19	ARPE19	ARPE19	1
RB	GSE230795	WERI-RB1	WERIRB1	WERIRB1	0
RCC	GSE233166	HEK293	HEK293	HEK293	1
RCC	GSE233166	HEK293T	HEK293T	HEK293T	1
RCC	GSE59395	ACHN	ACHN	ACHN	0
RCC	GSE99051	786-M1A	786M1A	786M1A	0
RCC	GSE99051	786-O	786O	786O	0
RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor_P3F1	induced_pluripotent_stem_cell_muscle_progenitor_P3F1	induced_pluripotent_stem_cell_muscle_progenitor_P3F1	1
RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor_P7F1	induced_pluripotent_stem_cell_muscle_progenitor_P7F1	induced_pluripotent_stem_cell_muscle_progenitor_P7F1	1
RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor_WT	induced_pluripotent_stem_cell_muscle_progenitor_WT	induced_pluripotent_stem_cell_muscle_progenitor_WT	1
RMS	GSE59395	SJCRH30	SJCRH30	SJCRH30	0
TALL	GSE130140	CUTLL1	CUTLL1	CUTLL1	0
TALL	GSE130140	Jurkat	JURKAT	JURKAT	0
TALL	GSE130140	TALL_patient_xenograft	TALL_patient_xenograft	TALL_patient_xenograft	0
TALL	GSE130140	Tcell	Tcell	Tcell	1
TALL	GSE134761	CUTLL1_1	CUTLL1	CUTLL1_2	0
TALL	GSE134761	CUTLL1_2	CUTLL1	CUTLL1_3	0
TALL	GSE134761	Jurkat	JURKAT	JURKAT_2	0
TALL	GSE134761	primary_TALL_cells	primary_TALL_cells	primary_TALL_cells	0
TALL	GSE134761	Tcell1	Tcell	Tcell_2	1
TALL	GSE134761	Tcell2	Tcell	Tcell_3	1
TALL	GSE134761	Tcell3	Tcell	Tcell_4	1
TALL	GSE147123	CCRF-CEM	CCRFCEM	CCRFCEM	0
TALL	GSE147123	Jurkat	JURKAT	JURKAT_3	0
TALL	GSE147123	MOLT-4	MOLT4	MOLT4	0
TALL	GSE147123	RPMI-8402	RPMI8402	RPMI8402	0
TALL	GSE182682	Tcell_leukemia_cell	Tcell_leukemia_cell	Tcell_leukemia_cell	0
UCEC	GSE128234	LEIO-PT1063	LEIOPT1063	LEIOPT1063	0
UCEC	GSE128234	LEIO-PT848	LEIOPT848	LEIOPT848	0
UCEC	GSE128234	LEIO-PT886	LEIOPT886	LEIOPT886	0
UCEC	GSE128234	LEIO-PT916	LEIOPT916	LEIOPT916	0
UCEC	GSE128234	LEIO-PT967	LEIOPT967	LEIOPT967	0
UCEC	GSE128234	Myometrium	Myometrium	Myometrium	1
