"id"	"sample"	"srr"	"path"	"subtype"	"dataset"	"kmeans"
"P498.SF12251v7"	"P498.SF12251v7"	NA	NA	""	"Mathur et al"	NA
"P498.SF12251v8"	"P498.SF12251v8"	NA	NA	"Classical"	"Mathur et al"	NA
"P498.SF12251v9"	"P498.SF12251v9"	NA	NA	""	"Mathur et al"	NA
"P503.SF12518v1"	"P503.SF12518v1"	NA	NA	"Neural"	"Mathur et al"	NA
"P503.SF12518v10"	"P503.SF12518v10"	NA	NA	""	"Mathur et al"	NA
"P503.SF12518v2"	"P503.SF12518v2"	NA	NA	"Neural"	"Mathur et al"	NA
"P503.SF12518v3"	"P503.SF12518v3"	NA	NA	"Proneural"	"Mathur et al"	NA
"P503.SF12518v4"	"P503.SF12518v4"	NA	NA	"Classical"	"Mathur et al"	NA
"P503.SF12518v5"	"P503.SF12518v5"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P503.SF12518v6"	"P503.SF12518v6"	NA	NA	"Proneural"	"Mathur et al"	NA
"P503.SF12518v7"	"P503.SF12518v7"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P503.SF12518v8"	"P503.SF12518v8"	NA	NA	"Classical"	"Mathur et al"	NA
"P503.SF12518v9"	"P503.SF12518v9"	NA	NA	""	"Mathur et al"	NA
"P519.SF12601v1"	"P519.SF12601v1"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P519.SF12601v10"	"P519.SF12601v10"	NA	NA	"Classical"	"Mathur et al"	NA
"P519.SF12601v2"	"P519.SF12601v2"	NA	NA	"Neural"	"Mathur et al"	NA
"P519.SF12601v3"	"P519.SF12601v3"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P519.SF12601v4"	"P519.SF12601v4"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P519.SF12601v5"	"P519.SF12601v5"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P519.SF12601v6"	"P519.SF12601v6"	NA	NA	"Classical"	"Mathur et al"	NA
"P519.SF12601v7"	"P519.SF12601v7"	NA	NA	"Classical"	"Mathur et al"	NA
"P519.SF12601v8"	"P519.SF12601v8"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P519.SF12601v9"	"P519.SF12601v9"	NA	NA	"Neural"	"Mathur et al"	NA
"P521.SF12631v1"	"P521.SF12631v1"	NA	NA	"Classical"	"Mathur et al"	NA
"P521.SF12631v2"	"P521.SF12631v2"	NA	NA	"Classical"	"Mathur et al"	NA
"P521.SF12631v3"	"P521.SF12631v3"	NA	NA	"Classical"	"Mathur et al"	NA
"P521.SF12631v4"	"P521.SF12631v4"	NA	NA	"Classical"	"Mathur et al"	NA
"P521.SF12631v5"	"P521.SF12631v5"	NA	NA	"Neural"	"Mathur et al"	NA
"P521.SF12631v7"	"P521.SF12631v7"	NA	NA	"Proneural"	"Mathur et al"	NA
"P521.SF12631v8"	"P521.SF12631v8"	NA	NA	"Proneural"	"Mathur et al"	NA
"P524.SF12681v1"	"P524.SF12681v1"	NA	NA	"Neural"	"Mathur et al"	2
"P524.SF12681v10"	"P524.SF12681v10"	NA	NA	"Classical"	"Mathur et al"	NA
"P524.SF12681v2"	"P524.SF12681v2"	NA	NA	"Classical"	"Mathur et al"	NA
"P524.SF12681v4"	"P524.SF12681v4"	NA	NA	"Classical"	"Mathur et al"	2
"P524.SF12681v5"	"P524.SF12681v5"	NA	NA	"Classical"	"Mathur et al"	NA
"P524.SF12681v6"	"P524.SF12681v6"	NA	NA	"Classical"	"Mathur et al"	NA
"P524.SF12681v7"	"P524.SF12681v7"	NA	NA	"Neural"	"Mathur et al"	NA
"P524.SF12681v8"	"P524.SF12681v8"	NA	NA	"Classical"	"Mathur et al"	NA
"P524.SF12681v9"	"P524.SF12681v9"	NA	NA	"Classical"	"Mathur et al"	2
"P529.SF12794v1-1"	"P529.SF12794v1-1"	NA	NA	"Classical"	"Mathur et al"	2
"P529.SF12794v1-2"	"P529.SF12794v1-2"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v10-1"	"P529.SF12794v10-1"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P529.SF12794v10-2"	"P529.SF12794v10-2"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P529.SF12794v2"	"P529.SF12794v2"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v3-1"	"P529.SF12794v3-1"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v3-2"	"P529.SF12794v3-2"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v4-1"	"P529.SF12794v4-1"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v4-2"	"P529.SF12794v4-2"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v5"	"P529.SF12794v5"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v6-1"	"P529.SF12794v6-1"	NA	NA	"Classical"	"Mathur et al"	2
"P529.SF12794v6-2"	"P529.SF12794v6-2"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v7-1"	"P529.SF12794v7-1"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P529.SF12794v7-2"	"P529.SF12794v7-2"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P529.SF12794v8-1"	"P529.SF12794v8-1"	NA	NA	"Classical"	"Mathur et al"	2
"P529.SF12794v8-2"	"P529.SF12794v8-2"	NA	NA	"Classical"	"Mathur et al"	NA
"P529.SF12794v9-1"	"P529.SF12794v9-1"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P529.SF12794v9-2"	"P529.SF12794v9-2"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P530.SF12822v1"	"P530.SF12822v1"	NA	NA	"Proneural"	"Mathur et al"	NA
"P530.SF12822v10"	"P530.SF12822v10"	NA	NA	"Proneural"	"Mathur et al"	2
"P530.SF12822v11"	"P530.SF12822v11"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P530.SF12822v12"	"P530.SF12822v12"	NA	NA	"Neural"	"Mathur et al"	NA
"P530.SF12822v13"	"P530.SF12822v13"	NA	NA	"Proneural"	"Mathur et al"	2
"P530.SF12822v14"	"P530.SF12822v14"	NA	NA	"Proneural"	"Mathur et al"	2
"P530.SF12822v15"	"P530.SF12822v15"	NA	NA	"Neural"	"Mathur et al"	2
"P530.SF12822v16"	"P530.SF12822v16"	NA	NA	"Neural"	"Mathur et al"	NA
"P530.SF12822v17"	"P530.SF12822v17"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P530.SF12822v18"	"P530.SF12822v18"	NA	NA	"Neural"	"Mathur et al"	2
"P530.SF12822v19"	"P530.SF12822v19"	NA	NA	"Neural"	"Mathur et al"	2
"P530.SF12822v2"	"P530.SF12822v2"	NA	NA	"Classical"	"Mathur et al"	2
"P530.SF12822v3"	"P530.SF12822v3"	NA	NA	"Proneural"	"Mathur et al"	NA
"P530.SF12822v4"	"P530.SF12822v4"	NA	NA	"Mesenchymal"	"Mathur et al"	2
"P530.SF12822v5"	"P530.SF12822v5"	NA	NA	"Proneural"	"Mathur et al"	2
"P530.SF12822v6"	"P530.SF12822v6"	NA	NA	"Proneural"	"Mathur et al"	NA
"P530.SF12822v7"	"P530.SF12822v7"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P530.SF12822v8"	"P530.SF12822v8"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P530.SF12822v9"	"P530.SF12822v9"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"pHGG"	"pHGG_3"	"SRR13238396"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/SF9427/SRR13238396/rsem_out/SRR13238396.genes.results"	"pHGG"	NA	NA
"pHGG"	"pHGG_2"	"SRR13238395"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/SF9427/SRR13238395/rsem_out/SRR13238395.genes.results"	"pHGG"	NA	NA
"pHGG"	"pHGG_1"	"SRR13238394"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/SF9427/SRR13238394/rsem_out/SRR13238394.genes.results"	"pHGG"	NA	NA
"pHGG_4"	"pHGG_4"	NA	NA	NA	NA	NA
"pHGG_5"	"pHGG_5"	NA	NA	NA	NA	NA
"pHGG_6"	"pHGG_6"	NA	NA	NA	NA	NA
"pHGG_7"	"pHGG_7"	NA	NA	NA	NA	NA
"pHGG_8"	"pHGG_8"	NA	NA	NA	NA	NA
"SW1088"	"SW1088"	"SRR12516202"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/SW1088/SRR12516202/rsem_out/SRR12516202.genes.results"	"Mesenchymal"	"Xu et al"	1
"U118"	"U118"	"SRR12516204"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/U118/SRR12516204/rsem_out/SRR12516204.genes.results"	"Mesenchymal"	"Xu et al"	1
"U251"	"U251_1"	"SRR8446749"	"/cluster/home/futing/Project/GBM/RNA/sample/U251/rsem_out/SRR8446749.genes.results"	"Mesenchymal"	"Chen et al"	1
"U251"	"U251_2"	"SRR8446750"	"/cluster/home/futing/Project/GBM/RNA/sample/U251/rsem_out/SRR8446750.genes.results"	"Mesenchymal"	"Chen et al"	1
"U343"	"U343_1"	"SRR11843774"	"/cluster/home/futing/Project/GBM/RNA/sample/U343/rsem_out/SRR11843774.genes.results"	"Mesenchymal"	"Xu et al"	1
"U343"	"U343_2"	"SRR11843775"	"/cluster/home/futing/Project/GBM/RNA/sample/U343/rsem_out/SRR11843775.genes.results"	"Mesenchymal"	"Xu et al"	1
"U343"	"U343_3"	"SRR11843776"	"/cluster/home/futing/Project/GBM/RNA/sample/U343/rsem_out/SRR11843776.genes.results"	"Mesenchymal"	"Xu et al"	1
"U87"	"U87_1"	"SRR12516205"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/U87/SRR12516205/rsem_out/SRR12516205.genes.results"	"Mesenchymal"	"Xu et al"	1
"U87"	"U87_3"	"SRR14862282"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/U87/SRR14862282/rsem_out/SRR14862282.genes.results"	"Mesenchymal"	"Xu et al"	1
"U87"	"U87_4"	"SRR14862283"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/U87/SRR14862283/rsem_out/SRR14862283.genes.results"	"Mesenchymal"	"Xu et al"	1
"U87"	"U87_5"	"SRR14862284"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/U87/SRR14862284/rsem_out/SRR14862284.genes.results"	"Mesenchymal"	"Xu et al"	1
"U87"	"U87_2"	"SRR19117165"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/U87/SRR19117165/rsem_out/SRR19117165.genes.results"	"Mesenchymal"	"Xu et al"	1
