File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF262URW	bigWig	bigWig		signal p-value	GRCh38	ENCSR291GJU	ATAC-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF990VCP/, /files/ENCFF624SON/, /files/ENCFF926KFU/	1863353673	ENCODE Processing Pipeline	e6299398369edb0e5b162b1492507ada		https://www.encodeproject.org/files/ENCFF262URW/@@download/ENCFF262URW.bigWig				released	s3://encode-public/2021/03/16/535ac617-42b7-4565-8327-af83350b4fa3/ENCFF262URW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/535ac617-42b7-4565-8327-af83350b4fa3/ENCFF262URW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF439EIO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR291GJU	ATAC-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF990VCP/, /files/ENCFF356LFX/, /files/ENCFF624SON/, /files/ENCFF926KFU/	7245219	ENCODE Processing Pipeline	c7e08900ba86556a2f5c460039060c10		https://www.encodeproject.org/files/ENCFF439EIO/@@download/ENCFF439EIO.bed.gz				released	s3://encode-public/2021/03/16/4eced5ce-3e78-404d-b8a4-e4ee2f32df61/ENCFF439EIO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/4eced5ce-3e78-404d-b8a4-e4ee2f32df61/ENCFF439EIO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF214BCI	bigWig	bigWig		signal p-value	GRCh38	ENCSR220ASC	ATAC-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF899WFS/, /files/ENCFF964ZKK/, /files/ENCFF669VTY/	734455149	ENCODE Processing Pipeline	3c32a88c8f6e7c296ecdebf90d9d9eb2		https://www.encodeproject.org/files/ENCFF214BCI/@@download/ENCFF214BCI.bigWig				released	s3://encode-public/2020/09/29/84daed2b-f7f9-4085-8f5f-2388748a0871/ENCFF214BCI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/84daed2b-f7f9-4085-8f5f-2388748a0871/ENCFF214BCI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF735UWS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR220ASC	ATAC-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF899WFS/, /files/ENCFF964ZKK/, /files/ENCFF356LFX/, /files/ENCFF669VTY/	4999607	ENCODE Processing Pipeline	d808e8bac1f26d964878129f4f4f1705		https://www.encodeproject.org/files/ENCFF735UWS/@@download/ENCFF735UWS.bed.gz				released	s3://encode-public/2020/09/29/d95536e9-d03e-4e52-836b-c750c6178fc2/ENCFF735UWS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/d95536e9-d03e-4e52-836b-c750c6178fc2/ENCFF735UWS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF624HRW	bigWig	bigWig		signal p-value	GRCh38	ENCSR872WGW	ATAC-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF927YUB/, /files/ENCFF724QHH/	727982360	ENCODE Processing Pipeline	549f60e81e41cd0a132b75682cc1694d		https://www.encodeproject.org/files/ENCFF624HRW/@@download/ENCFF624HRW.bigWig				released	s3://encode-public/2021/02/24/5778fb29-8174-4ec9-99b7-0c43e8cf09ff/ENCFF624HRW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/5778fb29-8174-4ec9-99b7-0c43e8cf09ff/ENCFF624HRW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF296ZZB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR872WGW	ATAC-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF927YUB/, /files/ENCFF356LFX/, /files/ENCFF724QHH/	5306753	ENCODE Processing Pipeline	4fc13ef6b70a40921ce7907999cd40f8		https://www.encodeproject.org/files/ENCFF296ZZB/@@download/ENCFF296ZZB.bed.gz				released	s3://encode-public/2021/02/24/5993e08f-52d8-423b-99ce-ca1df47cf013/ENCFF296ZZB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/5993e08f-52d8-423b-99ce-ca1df47cf013/ENCFF296ZZB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF667MDI	bigWig	bigWig		signal p-value	GRCh38	ENCSR637XSC	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF981FXV/, /files/ENCFF440GRZ/, /files/ENCFF962FMH/	1433378169	ENCODE Processing Pipeline	94e11903753580c8e39d77b331f90caf		https://www.encodeproject.org/files/ENCFF667MDI/@@download/ENCFF667MDI.bigWig				released	s3://encode-public/2021/03/16/a92bdac8-95fd-49fb-aa68-9b87d2026710/ENCFF667MDI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/a92bdac8-95fd-49fb-aa68-9b87d2026710/ENCFF667MDI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF748UZH	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR637XSC	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF981FXV/, /files/ENCFF440GRZ/, /files/ENCFF962FMH/, /files/ENCFF356LFX/	7219855	ENCODE Processing Pipeline	07915ab8198de991cc588926ad8c8f5d		https://www.encodeproject.org/files/ENCFF748UZH/@@download/ENCFF748UZH.bed.gz				released	s3://encode-public/2021/03/16/135c9467-c4eb-4d95-94c1-bf3f0be21270/ENCFF748UZH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/135c9467-c4eb-4d95-94c1-bf3f0be21270/ENCFF748UZH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF399KCR	bigWig	bigWig		signal p-value	GRCh38	ENCSR032RGS	ATAC-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF616DYV/, /files/ENCFF701BDT/, /files/ENCFF607DTB/	1973538863	ENCODE Processing Pipeline	acbeb16f401c2c6120f06fdd49b51ca0		https://www.encodeproject.org/files/ENCFF399KCR/@@download/ENCFF399KCR.bigWig				released	s3://encode-public/2021/03/16/893a56c1-a5b5-45fe-9d85-192e5fa014e2/ENCFF399KCR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/893a56c1-a5b5-45fe-9d85-192e5fa014e2/ENCFF399KCR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF899OMR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR032RGS	ATAC-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF616DYV/, /files/ENCFF701BDT/, /files/ENCFF356LFX/, /files/ENCFF607DTB/	7152341	ENCODE Processing Pipeline	feed36997c097111e6dd09cd4c29109c		https://www.encodeproject.org/files/ENCFF899OMR/@@download/ENCFF899OMR.bed.gz				released	s3://encode-public/2021/03/16/c8e2d83c-f433-48cd-bbb9-3570e9c19d43/ENCFF899OMR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/c8e2d83c-f433-48cd-bbb9-3570e9c19d43/ENCFF899OMR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF123YPY	bigWig	bigWig		signal p-value	GRCh38	ENCSR541KFY	ATAC-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											DNA						2021-06-24	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF240QKT/, /files/ENCFF127KFG/	1116740291	ENCODE Processing Pipeline	a17ea707350378fcdc80a582c5cddef7		https://www.encodeproject.org/files/ENCFF123YPY/@@download/ENCFF123YPY.bigWig				released	s3://encode-public/2021/06/21/b65d9bec-e908-404a-b04c-4cac737bad94/ENCFF123YPY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/06/21/b65d9bec-e908-404a-b04c-4cac737bad94/ENCFF123YPY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.10.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF321VDH	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR541KFY	ATAC-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											DNA						2021-06-24	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF240QKT/, /files/ENCFF127KFG/	6578849	ENCODE Processing Pipeline	f177e4e3c746b32a8d764f3f0fbef540		https://www.encodeproject.org/files/ENCFF321VDH/@@download/ENCFF321VDH.bed.gz				released	s3://encode-public/2021/06/21/7a8bcf21-8026-47d3-b23e-89c07abf32ba/ENCFF321VDH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/06/21/7a8bcf21-8026-47d3-b23e-89c07abf32ba/ENCFF321VDH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.10.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF252GZO	bigWig	bigWig		signal p-value	GRCh38	ENCSR956DNB	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2022-04-26	ENCODE			180-1000	1, 2	1_1, 2_1							/files/ENCFF445RUW/, /files/ENCFF778GYX/	368903570	ENCODE Processing Pipeline	ea8471c2af71ecc529046ec140c33adf		https://www.encodeproject.org/files/ENCFF252GZO/@@download/ENCFF252GZO.bigWig				released	s3://encode-public/2022/03/02/6b79b480-e246-4541-812b-138aee261817/ENCFF252GZO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/03/02/6b79b480-e246-4541-812b-138aee261817/ENCFF252GZO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.1.1 GRCh38	released	mixed read lengths, moderate number of reproducible peaks		extremely low read depth
ENCFF842UZU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR956DNB	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2022-04-26	ENCODE			180-1000	1, 2	1_1, 2_1							/files/ENCFF445RUW/, /files/ENCFF356LFX/, /files/ENCFF778GYX/	3108971	ENCODE Processing Pipeline	c1738f40f77a19d1773771b87826dbb8		https://www.encodeproject.org/files/ENCFF842UZU/@@download/ENCFF842UZU.bed.gz				released	s3://encode-public/2022/03/02/35cd6370-6085-4556-8f82-000c1efb66aa/ENCFF842UZU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/02/35cd6370-6085-4556-8f82-000c1efb66aa/ENCFF842UZU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.1.1 GRCh38	released	mixed read lengths, moderate number of reproducible peaks		extremely low read depth
ENCFF145UAD	bigWig	bigWig		signal p-value	GRCh38	ENCSR499ASS	ATAC-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF024FNF/, /files/ENCFF516GDK/	672746906	ENCODE Processing Pipeline	438b267666608c9d3c860deeed52e574		https://www.encodeproject.org/files/ENCFF145UAD/@@download/ENCFF145UAD.bigWig				released	s3://encode-public/2021/02/24/cec04648-adb8-4158-afb1-1e5b136b34b9/ENCFF145UAD.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/cec04648-adb8-4158-afb1-1e5b136b34b9/ENCFF145UAD.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
